path,name,internal_id,relative_path,type,size
/home/tiagoslg/projects/dspace-covemg/DSpace_COVEMG/01._A_COMISSAO_DA_VERDADE_EM_MINAS_GERAIS__HISTORIA_E_ATUACAO/Comissao_da_Verdade_em_Minas_Gerais_2013/Atas_das_reunioes_ordinarias_do_Pleno_2013/Ata_da_6o_Reuniao_da_Comissao_da_Verdade_em_Minas_Gerais,Ata_da_06_reuniao_da_Covemg_07.11.13.pdf,42557844953945424868376729032141136434,42/55/78,application/pdf,6138879
/home/tiagoslg/projects/dspace-covemg/DSpace_COVEMG/01._A_COMISSAO_DA_VERDADE_EM_MINAS_GERAIS__HISTORIA_E_ATUACAO/Comissao_da_Verdade_em_Minas_Gerais_2013/Atas_das_reunioes_ordinarias_do_Pleno_2013/Ata_da_6o_Reuniao_da_Comissao_da_Verdade_em_Minas_Gerais,license.txt,120353592970058791870186488775587360579,12/03/53,text/plain; charset=utf-8,1748
/home/tiagoslg/projects/dspace-covemg/DSpace_COVEMG/01._A_COMISSAO_DA_VERDADE_EM_MINAS_GERAIS__HISTORIA_E_ATUACAO/Comissao_da_Verdade_em_Minas_Gerais_2013/Atas_das_reunioes_ordinarias_do_Pleno_2013/Ata_da_7o_Reuniao_da_Comissao_da_Verdade_em_Minas_Gerais,Ata_da_07_reuniao_da_Covemg_14.11.13.pdf,40726445048506581370846467710659041643,40/72/64,application/pdf,4897567
/home/tiagoslg/projects/dspace-covemg/DSpace_COVEMG/01._A_COMISSAO_DA_VERDADE_EM_MINAS_GERAIS__HISTORIA_E_ATUACAO/Comissao_da_Verdade_em_Minas_Gerais_2013/Atas_das_reunioes_ordinarias_do_Pleno_2013/Ata_da_7o_Reuniao_da_Comissao_da_Verdade_em_Minas_Gerais,license.txt,157862241044483702885800948448315358832,15/78/62,text/plain; charset=utf-8,1748
/home/tiagoslg/projects/dspace-covemg/DSpace_COVEMG/01._A_COMISSAO_DA_VERDADE_EM_MINAS_GERAIS__HISTORIA_E_ATUACAO/Comissao_da_Verdade_em_Minas_Gerais_2013/Atas_das_reunioes_ordinarias_do_Pleno_2013/Ata_da_8o_Reuniao_da_Comissao_da_Verdade_em_Minas_Gerais,Ata_da_08_reuniao_da_Covemg_19.11.13.pdf,137080837877442966588639522543762566244,13/70/80,application/pdf,5405576
/home/tiagoslg/projects/dspace-covemg/DSpace_COVEMG/01._A_COMISSAO_DA_VERDADE_EM_MINAS_GERAIS__HISTORIA_E_ATUACAO/Comissao_da_Verdade_em_Minas_Gerais_2013/Atas_das_reunioes_ordinarias_do_Pleno_2013/Ata_da_8o_Reuniao_da_Comissao_da_Verdade_em_Minas_Gerais,license.txt,66113588451379727720351422953275843831,66/11/35,text/plain; charset=utf-8,1748
/home/tiagoslg/projects/dspace-covemg/DSpace_COVEMG/01._A_COMISSAO_DA_VERDADE_EM_MINAS_GERAIS__HISTORIA_E_ATUACAO/Comissao_da_Verdade_em_Minas_Gerais_2013/Atas_das_reunioes_ordinarias_do_Pleno_2013/Ata_da_9o_Reuniao_da_Comissao_da_Verdade_em_Minas_Gerais,Ata_da_09_reuniao_da_Covemg_25.11.13.pdf,97845888361128958018823435880185723617,97/84/58,application/pdf,4586619
/home/tiagoslg/projects/dspace-covemg/DSpace_COVEMG/01._A_COMISSAO_DA_VERDADE_EM_MINAS_GERAIS__HISTORIA_E_ATUACAO/Comissao_da_Verdade_em_Minas_Gerais_2013/Atas_das_reunioes_ordinarias_do_Pleno_2013/Ata_da_9o_Reuniao_da_Comissao_da_Verdade_em_Minas_Gerais,license.txt,69443121940004680303903260745981688447,69/44/31,text/plain; charset=utf-8,1748
/home/tiagoslg/projects/dspace-covemg/DSpace_COVEMG/01._A_COMISSAO_DA_VERDADE_EM_MINAS_GERAIS__HISTORIA_E_ATUACAO/Comissao_da_Verdade_em_Minas_Gerais_2013/Atas_das_reunioes_ordinarias_do_Pleno_2013/Ata_da_10o_Reuniao_da_Comissao_da_Verdade_em_Minas_Gerais,Ata_da_10_reuniao_da_Covemg_28.11.13.pdf,97147282035027828169380403628960452110,97/14/72,application/pdf,4521562
/home/tiagoslg/projects/dspace-covemg/DSpace_COVEMG/01._A_COMISSAO_DA_VERDADE_EM_MINAS_GERAIS__HISTORIA_E_ATUACAO/Comissao_da_Verdade_em_Minas_Gerais_2013/Atas_das_reunioes_ordinarias_do_Pleno_2013/Ata_da_10o_Reuniao_da_Comissao_da_Verdade_em_Minas_Gerais,license.txt,21586861206748212231499011770523960412,21/58/68,text/plain; charset=utf-8,1748
/home/tiagoslg/projects/dspace-covemg/DSpace_COVEMG/01._A_COMISSAO_DA_VERDADE_EM_MINAS_GERAIS__HISTORIA_E_ATUACAO/Comissao_da_Verdade_em_Minas_Gerais_2013/Atas_das_reunioes_ordinarias_do_Pleno_2013/Ata_da_11o_Reuniao_da_Comissao_da_Verdade_em_Minas_Gerais,Ata_da_11_reuniao_da_Covemg_05.12.13.pdf,20224178621954304135977445459110555623,20/22/41,application/pdf,4209375
/home/tiagoslg/projects/dspace-covemg/DSpace_COVEMG/01._A_COMISSAO_DA_VERDADE_EM_MINAS_GERAIS__HISTORIA_E_ATUACAO/Comissao_da_Verdade_em_Minas_Gerais_2013/Atas_das_reunioes_ordinarias_do_Pleno_2013/Ata_da_11o_Reuniao_da_Comissao_da_Verdade_em_Minas_Gerais,license.txt,159970506691134160010483566773564168928,15/99/70,text/plain; charset=utf-8,1748
/home/tiagoslg/projects/dspace-covemg/DSpace_COVEMG/01._A_COMISSAO_DA_VERDADE_EM_MINAS_GERAIS__HISTORIA_E_ATUACAO/Comissao_da_Verdade_em_Minas_Gerais_2013/Atas_das_reunioes_ordinarias_do_Pleno_2013/Ata_da_12o_Reuniao_da_Comissao_da_Verdade_em_Minas_Gerais,Ata_da_12_reuniao_da_Covemg_12.12.13.pdf,15604525427042644865527561967913748256,15/60/45,application/pdf,6063389
/home/tiagoslg/projects/dspace-covemg/DSpace_COVEMG/01._A_COMISSAO_DA_VERDADE_EM_MINAS_GERAIS__HISTORIA_E_ATUACAO/Comissao_da_Verdade_em_Minas_Gerais_2013/Atas_das_reunioes_ordinarias_do_Pleno_2013/Ata_da_12o_Reuniao_da_Comissao_da_Verdade_em_Minas_Gerais,license.txt,33539918649792292201904552085971121285,33/53/99,text/plain; charset=utf-8,1748
/home/tiagoslg/projects/dspace-covemg/DSpace_COVEMG/01._A_COMISSAO_DA_VERDADE_EM_MINAS_GERAIS__HISTORIA_E_ATUACAO/Comissao_da_Verdade_em_Minas_Gerais_2013/Oficios_Emitidos_pela_Comissao_da_Verdade_em_Minas_Gerais_2013/Oficio_no_012013,Of_01_-_23-10-13_Comissao_Nacional_da_Verdade.pdf,168170207937975358026468184730877884553,16/81/70,application/pdf,1298005
/home/tiagoslg/projects/dspace-covemg/DSpace_COVEMG/01._A_COMISSAO_DA_VERDADE_EM_MINAS_GERAIS__HISTORIA_E_ATUACAO/Comissao_da_Verdade_em_Minas_Gerais_2013/Oficios_Emitidos_pela_Comissao_da_Verdade_em_Minas_Gerais_2013/Oficio_no_012013,license.txt,44924140036183716299210500966357926811,44/92/41,text/plain; charset=utf-8,1748
/home/tiagoslg/projects/dspace-covemg/DSpace_COVEMG/01._A_COMISSAO_DA_VERDADE_EM_MINAS_GERAIS__HISTORIA_E_ATUACAO/Comissao_da_Verdade_em_Minas_Gerais_2013/Oficios_Emitidos_pela_Comissao_da_Verdade_em_Minas_Gerais_2013/Oficio_No022013,Of_02_-_07-11-13_Conselho_Deliberativo_do_Patrimonio_Cultural.pdf,127653717498450383342918532660605791161,12/76/53,application/pdf,1094800
/home/tiagoslg/projects/dspace-covemg/DSpace_COVEMG/01._A_COMISSAO_DA_VERDADE_EM_MINAS_GERAIS__HISTORIA_E_ATUACAO/Comissao_da_Verdade_em_Minas_Gerais_2013/Oficios_Emitidos_pela_Comissao_da_Verdade_em_Minas_Gerais_2013/Oficio_No022013,license.txt,152072698768577250448542290156235721128,15/20/72,text/plain; charset=utf-8,1748
/home/tiagoslg/projects/dspace-covemg/DSpace_COVEMG/01._A_COMISSAO_DA_VERDADE_EM_MINAS_GERAIS__HISTORIA_E_ATUACAO/Comissao_da_Verdade_em_Minas_Gerais_2013/Oficios_Emitidos_pela_Comissao_da_Verdade_em_Minas_Gerais_2013/Oficio_no032013,Of_03_-_07-11-13_Sec_de_Casa_Civil_e_copia_do_parecer.pdf,53847523728449388385875362255375461176,53/84/75,application/pdf,8183681
/home/tiagoslg/projects/dspace-covemg/DSpace_COVEMG/01._A_COMISSAO_DA_VERDADE_EM_MINAS_GERAIS__HISTORIA_E_ATUACAO/Comissao_da_Verdade_em_Minas_Gerais_2013/Oficios_Emitidos_pela_Comissao_da_Verdade_em_Minas_Gerais_2013/Oficio_no032013,license.txt,86505608149491530103305321417967936481,86/50/56,text/plain; charset=utf-8,1748
/home/tiagoslg/projects/dspace-covemg/DSpace_COVEMG/01._A_COMISSAO_DA_VERDADE_EM_MINAS_GERAIS__HISTORIA_E_ATUACAO/Comissao_da_Verdade_em_Minas_Gerais_2013/Oficios_Emitidos_pela_Comissao_da_Verdade_em_Minas_Gerais_2013/Oficio_no042013,Of_04_-_08-11-13_Sec._de_Casa_Civil_e_copia_do_Reg._Inter.pdf,115785383152651908483470140062197829156,11/57/85,application/pdf,13968683
/home/tiagoslg/projects/dspace-covemg/DSpace_COVEMG/01._A_COMISSAO_DA_VERDADE_EM_MINAS_GERAIS__HISTORIA_E_ATUACAO/Comissao_da_Verdade_em_Minas_Gerais_2013/Oficios_Emitidos_pela_Comissao_da_Verdade_em_Minas_Gerais_2013/Oficio_no042013,license.txt,52040788355109584863440867154404572639,52/04/07,text/plain; charset=utf-8,1748
/home/tiagoslg/projects/dspace-covemg/DSpace_COVEMG/01._A_COMISSAO_DA_VERDADE_EM_MINAS_GERAIS__HISTORIA_E_ATUACAO/Comissao_da_Verdade_em_Minas_Gerais_2013/Oficios_Emitidos_pela_Comissao_da_Verdade_em_Minas_Gerais_2013/Oficio_no052013,Of_05_-_29-11-13_Sec._de_Casa_Civil_e_Reg._Inter.pdf,40771093088062725841750061233841221302,40/77/10,application/pdf,915390
/home/tiagoslg/projects/dspace-covemg/DSpace_COVEMG/01._A_COMISSAO_DA_VERDADE_EM_MINAS_GERAIS__HISTORIA_E_ATUACAO/Comissao_da_Verdade_em_Minas_Gerais_2013/Oficios_Emitidos_pela_Comissao_da_Verdade_em_Minas_Gerais_2013/Oficio_no052013,license.txt,146369131528593401754258697423799271421,14/63/69,text/plain; charset=utf-8,1748
/home/tiagoslg/projects/dspace-covemg/DSpace_COVEMG/01._A_COMISSAO_DA_VERDADE_EM_MINAS_GERAIS__HISTORIA_E_ATUACAO/Comissao_da_Verdade_em_Minas_Gerais_2013/Oficios_Emitidos_pela_Comissao_da_Verdade_em_Minas_Gerais_2013/Oficio_no_062013,Of_06_-_28-11-13_Sec._Casa_Civil_sobre_evento_em_T._Otoni.pdf,123260618350635225411002799400601878533,12/32/60,application/pdf,1227531
/home/tiagoslg/projects/dspace-covemg/DSpace_COVEMG/01._A_COMISSAO_DA_VERDADE_EM_MINAS_GERAIS__HISTORIA_E_ATUACAO/Comissao_da_Verdade_em_Minas_Gerais_2013/Oficios_Emitidos_pela_Comissao_da_Verdade_em_Minas_Gerais_2013/Oficio_no_062013,license.txt,77240232012329299042717992309493433577,77/24/02,text/plain; charset=utf-8,1748
/home/tiagoslg/projects/dspace-covemg/DSpace_COVEMG/01._A_COMISSAO_DA_VERDADE_EM_MINAS_GERAIS__HISTORIA_E_ATUACAO/Comissao_da_Verdade_em_Minas_Gerais_2013/Oficios_Emitidos_pela_Comissao_da_Verdade_em_Minas_Gerais_2013/Oficio_no072013,Of_07_-_02-12-13_Sec._Casa_Civil_passagem_e_diarias_p_Teofilo_Otoni.pdf,50917742764629449134226086262692322184,50/91/77,application/pdf,1284781
/home/tiagoslg/projects/dspace-covemg/DSpace_COVEMG/01._A_COMISSAO_DA_VERDADE_EM_MINAS_GERAIS__HISTORIA_E_ATUACAO/Comissao_da_Verdade_em_Minas_Gerais_2013/Oficios_Emitidos_pela_Comissao_da_Verdade_em_Minas_Gerais_2013/Oficio_no072013,license.txt,107365752296647855529889379826731522696,10/73/65,text/plain; charset=utf-8,1748
/home/tiagoslg/projects/dspace-covemg/DSpace_COVEMG/01._A_COMISSAO_DA_VERDADE_EM_MINAS_GERAIS__HISTORIA_E_ATUACAO/Comissao_da_Verdade_em_Minas_Gerais_2013/Oficios_Emitidos_pela_Comissao_da_Verdade_em_Minas_Gerais_2013/Oficio_no_07A2013,Of_07A_-_12-12-13_Sec._Casa_Civil_evento_em_Teofilo_Otoni.pdf,34409207493777742713988482404080770720,34/40/92,application/pdf,1144342
/home/tiagoslg/projects/dspace-covemg/DSpace_COVEMG/01._A_COMISSAO_DA_VERDADE_EM_MINAS_GERAIS__HISTORIA_E_ATUACAO/Comissao_da_Verdade_em_Minas_Gerais_2013/Oficios_Emitidos_pela_Comissao_da_Verdade_em_Minas_Gerais_2013/Oficio_no_07A2013,license.txt,15293406332973304089231255228523863028,15/29/34,text/plain; charset=utf-8,1748
/home/tiagoslg/projects/dspace-covemg/DSpace_COVEMG/01._A_COMISSAO_DA_VERDADE_EM_MINAS_GERAIS__HISTORIA_E_ATUACAO/Comissao_da_Verdade_em_Minas_Gerais_2013/Oficios_Emitidos_pela_Comissao_da_Verdade_em_Minas_Gerais_2013/Oficio_no_082013,Of_08_-_16-12-13_ALMG_-_pleito_de_reuniao_em_Diamantina.pdf,10834942204887632779102812079388563918,10/83/49,application/pdf,5459074
/home/tiagoslg/projects/dspace-covemg/DSpace_COVEMG/01._A_COMISSAO_DA_VERDADE_EM_MINAS_GERAIS__HISTORIA_E_ATUACAO/Comissao_da_Verdade_em_Minas_Gerais_2013/Oficios_Emitidos_pela_Comissao_da_Verdade_em_Minas_Gerais_2013/Oficio_no_082013,license.txt,131800582339116543123377052952302483429,13/18/00,text/plain; charset=utf-8,1748
/home/tiagoslg/projects/dspace-covemg/DSpace_COVEMG/01._A_COMISSAO_DA_VERDADE_EM_MINAS_GERAIS__HISTORIA_E_ATUACAO/Comissao_da_Verdade_em_Minas_Gerais_2013/Oficios_Emitidos_pela_Comissao_da_Verdade_em_Minas_Gerais_2013/Oficio_no092013,Of_09_-_17-12-13_ALMG_-_sobre_depoimento_fam._Arcy_Ribeiro.pdf,89904309903272784031709559615153438511,89/90/43,application/pdf,6681536
/home/tiagoslg/projects/dspace-covemg/DSpace_COVEMG/01._A_COMISSAO_DA_VERDADE_EM_MINAS_GERAIS__HISTORIA_E_ATUACAO/Comissao_da_Verdade_em_Minas_Gerais_2013/Oficios_Emitidos_pela_Comissao_da_Verdade_em_Minas_Gerais_2013/Oficio_no092013,license.txt,45387240301684723277187377619114105480,45/38/72,text/plain; charset=utf-8,1748
/home/tiagoslg/projects/dspace-covemg/DSpace_COVEMG/01._A_COMISSAO_DA_VERDADE_EM_MINAS_GERAIS__HISTORIA_E_ATUACAO/Comissao_da_Verdade_em_Minas_Gerais_2013/Oficios_Emitidos_pela_Comissao_da_Verdade_em_Minas_Gerais_2013/Oficio_no102013,Of_10_-_18-12-13_ALMG_-_Desagravo_de_Josias_Nunes.pdf,131895920651193979688115992467476511970,13/18/95,application/pdf,5280031
/home/tiagoslg/projects/dspace-covemg/DSpace_COVEMG/01._A_COMISSAO_DA_VERDADE_EM_MINAS_GERAIS__HISTORIA_E_ATUACAO/Comissao_da_Verdade_em_Minas_Gerais_2013/Oficios_Emitidos_pela_Comissao_da_Verdade_em_Minas_Gerais_2013/Oficio_no102013,license.txt,76248312195847887075349206781846523510,76/24/83,text/plain; charset=utf-8,1748
/home/tiagoslg/projects/dspace-covemg/DSpace_COVEMG/01._A_COMISSAO_DA_VERDADE_EM_MINAS_GERAIS__HISTORIA_E_ATUACAO/Comissao_da_Verdade_em_Minas_Gerais_2013/Oficios_Emitidos_pela_Comissao_da_Verdade_em_Minas_Gerais_2013/Oficio_no112013,Of_11_-_18-12-13_Sec._Casa_Civil_desagravo_de_Josias_Nunes.pdf,112247845284991376694545586694201981035,11/22/47,application/pdf,2069356
/home/tiagoslg/projects/dspace-covemg/DSpace_COVEMG/01._A_COMISSAO_DA_VERDADE_EM_MINAS_GERAIS__HISTORIA_E_ATUACAO/Comissao_da_Verdade_em_Minas_Gerais_2013/Oficios_Emitidos_pela_Comissao_da_Verdade_em_Minas_Gerais_2013/Oficio_no112013,license.txt,144668613409617721609663152218137196536,14/46/68,text/plain; charset=utf-8,1748
/home/tiagoslg/projects/dspace-covemg/DSpace_COVEMG/01._A_COMISSAO_DA_VERDADE_EM_MINAS_GERAIS__HISTORIA_E_ATUACAO/Comissao_da_Verdade_em_Minas_Gerais_2013/Oficios_Emitidos_pela_Comissao_da_Verdade_em_Minas_Gerais_2013/Oficio_no122013,Of_12_-_19-12-13_Sec._Casa_Civil_sobre_Regimento_Interno.pdf,130029965950606012314932324138116327525,13/00/29,application/pdf,12781348
/home/tiagoslg/projects/dspace-covemg/DSpace_COVEMG/01._A_COMISSAO_DA_VERDADE_EM_MINAS_GERAIS__HISTORIA_E_ATUACAO/Comissao_da_Verdade_em_Minas_Gerais_2013/Oficios_Emitidos_pela_Comissao_da_Verdade_em_Minas_Gerais_2013/Oficio_no122013,license.txt,78663532614062575929755257371351253177,78/66/35,text/plain; charset=utf-8,1748
/home/tiagoslg/projects/dspace-covemg/DSpace_COVEMG/01._A_COMISSAO_DA_VERDADE_EM_MINAS_GERAIS__HISTORIA_E_ATUACAO/Comissao_da_Verdade_em_Minas_Gerais_2013/Oficios_Recebidos_pela_Comissao_da_Verdade_em_Minas_Gerais_2013/Secretaria-Geral_da_Governadoria_de_Minas_Gerais,Of_encaminhado_a_Covemg_para_indicacao_de_membro_para_evento_CNV-_19-09-13.pdf,159235538057705751125921280110768349360,15/92/35,application/pdf,2053638
/home/tiagoslg/projects/dspace-covemg/DSpace_COVEMG/01._A_COMISSAO_DA_VERDADE_EM_MINAS_GERAIS__HISTORIA_E_ATUACAO/Comissao_da_Verdade_em_Minas_Gerais_2013/Oficios_Recebidos_pela_Comissao_da_Verdade_em_Minas_Gerais_2013/Secretaria-Geral_da_Governadoria_de_Minas_Gerais,license.txt,119990839519996330072892743280790841535,11/99/90,text/plain; charset=utf-8,1748
/home/tiagoslg/projects/dspace-covemg/DSpace_COVEMG/01._A_COMISSAO_DA_VERDADE_EM_MINAS_GERAIS__HISTORIA_E_ATUACAO/Comissao_da_Verdade_em_Minas_Gerais_2013/Oficios_Recebidos_pela_Comissao_da_Verdade_em_Minas_Gerais_2013/Secretaria_de_Estado_de_Casa_Civil,Of_da_Casa_Civil_copia_oficio_encaminhado_pela_ALMG_solicitando_Audiencia_Publica_para_Covemg-07-11-13.pdf,22781614380676202141847928017735249212,22/78/16,application/pdf,4588723
/home/tiagoslg/projects/dspace-covemg/DSpace_COVEMG/01._A_COMISSAO_DA_VERDADE_EM_MINAS_GERAIS__HISTORIA_E_ATUACAO/Comissao_da_Verdade_em_Minas_Gerais_2013/Oficios_Recebidos_pela_Comissao_da_Verdade_em_Minas_Gerais_2013/Secretaria_de_Estado_de_Casa_Civil,license.txt,33094861860357933476301499045248021311,33/09/48,text/plain; charset=utf-8,1748
/home/tiagoslg/projects/dspace-covemg/DSpace_COVEMG/01._A_COMISSAO_DA_VERDADE_EM_MINAS_GERAIS__HISTORIA_E_ATUACAO/Comissao_da_Verdade_em_Minas_Gerais_2013/Oficios_Recebidos_pela_Comissao_da_Verdade_em_Minas_Gerais_2013/Secretaria_de_Estado_de_Casa_Civil,Of_da_Casa_Civil_-_respondendo_solicitacao_da_Comissao_da_Verdade_do_Municipio_de_SP_-_31-10-13.pdf,132583801151751013287747650382322350731,13/25/83,application/pdf,3085069
/home/tiagoslg/projects/dspace-covemg/DSpace_COVEMG/01._A_COMISSAO_DA_VERDADE_EM_MINAS_GERAIS__HISTORIA_E_ATUACAO/Comissao_da_Verdade_em_Minas_Gerais_2013/Oficios_Recebidos_pela_Comissao_da_Verdade_em_Minas_Gerais_2013/Secretaria_de_Estado_de_Casa_Civil,license.txt,120138791750132492875607866107338686588,12/01/38,text/plain; charset=utf-8,1748
/home/tiagoslg/projects/dspace-covemg/DSpace_COVEMG/01._A_COMISSAO_DA_VERDADE_EM_MINAS_GERAIS__HISTORIA_E_ATUACAO/Comissao_da_Verdade_em_Minas_Gerais_2013/Oficios_Recebidos_pela_Comissao_da_Verdade_em_Minas_Gerais_2013/Secretaria_de_Estado_de_Casa_Civil,Of_da_Casa_Civil_para_a_Covemg_com_solicitacao_sobre_Arcy_Ribeiro-_05-12-13.pdf,155603454748487092449713059428035604732,15/56/03,application/pdf,4576638
/home/tiagoslg/projects/dspace-covemg/DSpace_COVEMG/01._A_COMISSAO_DA_VERDADE_EM_MINAS_GERAIS__HISTORIA_E_ATUACAO/Comissao_da_Verdade_em_Minas_Gerais_2013/Oficios_Recebidos_pela_Comissao_da_Verdade_em_Minas_Gerais_2013/Secretaria_de_Estado_de_Casa_Civil,license.txt,9582968223351551569085854277554471239,95/82/96,text/plain; charset=utf-8,1748
/home/tiagoslg/projects/dspace-covemg/DSpace_COVEMG/01._A_COMISSAO_DA_VERDADE_EM_MINAS_GERAIS__HISTORIA_E_ATUACAO/Comissao_da_Verdade_em_Minas_Gerais_2013/Oficios_Recebidos_pela_Comissao_da_Verdade_em_Minas_Gerais_2013/Secretaria_de_Estado_de_Casa_Civil,Of_da_Casa_Civil_para_Covemg_-_encaminhei_Lei_e_Decreto_de_criacao_da_Covemg_-_27-09-13.pdf,41676545772790272602110230109903212085,41/67/65,application/pdf,1093593
/home/tiagoslg/projects/dspace-covemg/DSpace_COVEMG/01._A_COMISSAO_DA_VERDADE_EM_MINAS_GERAIS__HISTORIA_E_ATUACAO/Comissao_da_Verdade_em_Minas_Gerais_2013/Oficios_Recebidos_pela_Comissao_da_Verdade_em_Minas_Gerais_2013/Secretaria_de_Estado_de_Casa_Civil,license.txt,35301836402622942158291629312954219523,35/30/18,text/plain; charset=utf-8,1748
/home/tiagoslg/projects/dspace-covemg/DSpace_COVEMG/01._A_COMISSAO_DA_VERDADE_EM_MINAS_GERAIS__HISTORIA_E_ATUACAO/Comissao_da_Verdade_em_Minas_Gerais_2013/Oficios_Recebidos_pela_Comissao_da_Verdade_em_Minas_Gerais_2013/Secretaria_de_Estado_de_Casa_Civil,Of_da_Casa_Civil_sobre_pedido_de_desagravo_de_Josias_Nunes-_22-11-13.pdf,21283528641098648981102227443014032006,21/28/35,application/pdf,2780766
/home/tiagoslg/projects/dspace-covemg/DSpace_COVEMG/01._A_COMISSAO_DA_VERDADE_EM_MINAS_GERAIS__HISTORIA_E_ATUACAO/Comissao_da_Verdade_em_Minas_Gerais_2013/Oficios_Recebidos_pela_Comissao_da_Verdade_em_Minas_Gerais_2013/Secretaria_de_Estado_de_Casa_Civil,license.txt,34146157428784941220471487582876335608,34/14/61,text/plain; charset=utf-8,1748
